Logged_At,Simulated_Time,Mode,Speed_kmh,Motor_Power_kW,Battery_SOC_%,Battery_Temp_°C,Motor_Temp_°C,Tire_Pressure_PSI,Thermal_Warning,Faults
2025-05-24T11:25:53,2025-05-24T11:25:55,idle,100.48,84.22,79.16,38.88,44.63,31.01,No,None
2025-05-24T11:25:55,2025-05-24T11:25:57,idle,102.38,89.73,78.26,39.88,44.29,31.03,No,None
2025-05-24T11:25:57,2025-05-24T11:25:59,idle,105.98,82.62,77.43,40.73,43.86,31.04,No,None
2025-05-24T11:25:59,2025-05-24T11:26:01,idle,110.70,79.61,76.64,41.52,43.37,31.06,No,None
2025-05-24T11:26:01,2025-05-24T11:26:03,idle,113.32,72.52,75.91,42.17,42.81,31.08,No,None
2025-05-24T11:26:03,2025-05-24T11:26:05,normal,110.34,69.42,75.22,42.76,42.24,31.10,No,None
2025-05-24T11:26:05,2025-05-24T11:26:07,normal,107.74,64.50,74.57,43.25,41.65,31.12,No,None
2025-05-24T11:26:07,2025-05-24T11:26:09,normal,108.49,62.40,73.95,43.70,41.04,31.15,No,None
2025-05-24T11:26:09,2025-05-24T11:26:11,normal,104.37,57.75,73.37,44.06,40.43,31.17,No,None
2025-05-24T11:26:11,2025-05-24T11:26:13,normal,96.80,55.35,72.82,44.36,39.86,31.19,No,None
2025-05-24T11:26:13,2025-05-24T11:26:15,normal,95.03,52.73,72.29,44.62,39.28,31.22,No,None
2025-05-24T11:26:15,2025-05-24T11:26:17,normal,104.82,50.16,71.79,44.82,38.60,31.24,No,None
2025-05-24T11:26:17,2025-05-24T11:26:19,normal,104.28,46.04,71.33,44.94,37.90,31.27,No,None
2025-05-24T11:26:19,2025-05-24T11:26:21,normal,95.33,46.98,70.86,45.08,37.27,31.29,No,None
2025-05-24T11:26:21,2025-05-24T11:26:23,normal,96.98,50.00,70.36,45.28,36.66,31.32,No,None
2025-05-24T11:28:41,2025-05-24T11:28:43,normal,33.45,26.11,79.74,35.72,41.70,31.21,No,None
2025-05-24T11:28:43,2025-05-24T11:28:45,normal,37.76,28.63,79.45,35.49,41.39,31.21,No,None
2025-05-24T11:28:45,2025-05-24T11:28:47,normal,33.36,29.06,79.16,35.28,41.11,31.22,No,None
2025-05-24T11:28:47,2025-05-24T11:28:49,normal,27.37,27.76,78.88,35.03,40.88,31.22,No,None
2025-05-24T11:28:49,2025-05-24T11:28:51,normal,28.08,26.03,78.62,34.75,40.62,31.23,No,None
2025-05-24T11:28:51,2025-05-24T11:28:53,normal,26.23,30.01,78.32,34.55,40.41,31.23,No,None
2025-05-24T11:28:53,2025-05-24T11:28:55,normal,20.76,25.36,78.07,34.26,40.21,31.24,No,None
2025-05-24T11:28:55,2025-05-24T11:28:57,normal,26.85,29.68,77.77,34.05,39.99,31.24,No,None
2025-05-24T11:28:57,2025-05-24T11:28:59,normal,29.22,33.29,77.44,33.92,39.78,31.24,No,None
2025-05-24T11:28:59,2025-05-24T11:29:01,normal,21.68,37.55,77.07,33.87,39.67,31.24,No,None
2025-05-24T11:29:01,2025-05-24T11:29:03,normal,15.83,34.85,76.72,33.77,39.58,31.25,No,None
2025-05-24T11:29:03,2025-05-24T11:29:05,normal,11.86,32.20,76.39,33.61,39.50,31.25,No,None
2025-05-24T11:29:05,2025-05-24T11:29:07,normal,13.56,36.52,76.03,33.54,39.45,31.25,No,None
2025-05-24T11:29:07,2025-05-24T11:29:09,normal,19.24,39.39,75.64,33.53,39.37,31.25,No,None
2025-05-24T11:29:09,2025-05-24T11:29:11,idle,23.54,47.41,75.16,33.68,39.32,31.26,No,None
2025-05-24T11:29:11,2025-05-24T11:29:13,idle,21.95,51.19,74.65,33.90,39.31,31.26,No,None
2025-05-24T11:29:13,2025-05-24T11:29:15,idle,20.57,45.58,74.19,34.01,39.27,31.26,No,None
2025-05-24T11:29:15,2025-05-24T11:29:17,idle,22.38,47.80,73.72,34.17,39.24,31.26,No,None
2025-05-24T11:29:17,2025-05-24T11:29:19,idle,18.21,54.53,73.17,34.46,38.59,31.27,No,None
2025-05-24T11:29:19,2025-05-24T11:29:21,idle,19.54,47.48,72.70,34.61,37.67,31.27,No,None
2025-05-24T11:29:21,2025-05-24T11:29:23,normal,11.33,50.57,72.19,34.82,37.75,31.28,No,None
2025-05-24T11:29:23,2025-05-24T11:29:25,normal,19.59,50.15,71.69,35.02,37.75,31.28,No,None
2025-05-24T11:29:25,2025-05-24T11:29:27,normal,28.88,54.68,71.14,35.32,37.72,31.29,No,None
2025-05-24T11:29:27,2025-05-24T11:29:29,normal,38.65,53.49,70.61,35.59,37.60,31.29,No,None
2025-06-20T15:52:03,2025-06-20T15:52:05,normal,43.56,17.20,79.83,35.54,41.55,31.21,No,None
2025-06-20T15:52:05,2025-06-20T15:52:07,normal,34.30,14.41,79.68,35.03,41.15,31.21,No,None
2025-06-20T15:52:07,2025-06-20T15:52:09,normal,33.58,12.91,79.55,34.49,40.74,31.22,No,None
2025-06-20T15:52:09,2025-06-20T15:52:11,normal,32.70,12.50,79.43,33.94,40.34,31.22,No,None
2025-06-20T15:52:11,2025-06-20T15:52:13,normal,40.53,8.68,79.34,33.31,39.85,31.22,No,None
2025-06-20T15:52:13,2025-06-20T15:52:15,normal,49.92,8.72,79.26,32.69,39.28,31.22,No,None
2025-06-20T15:52:15,2025-06-20T15:52:17,normal,51.50,9.41,79.16,32.08,38.70,31.22,No,None
2025-06-20T15:52:17,2025-06-20T15:52:19,normal,50.99,9.17,79.07,31.46,38.13,31.22,No,None
2025-06-20T15:52:19,2025-06-20T15:52:21,aggressive,52.80,0.00,79.07,30.66,37.56,31.21,No,None
2025-06-20T15:52:21,2025-06-20T15:52:23,aggressive,41.84,0.00,79.07,29.86,37.19,31.21,No,None
2025-06-20T15:52:23,2025-06-20T15:52:25,aggressive,64.98,0.00,79.07,29.06,36.73,31.20,No,None
